view,part,date,old_name,new_name,class_id,new_id,train,train_idx_aligned
left,,31Jan2015,3897_Stasny left_31Jan2015.jpg,0.jpg,94,416,True,333
right,,25Feb2015,842_Chloe I right head_25Feb2015.jpg,1.jpg,519,354,True,284
left,,14Jan2015,3637_Ridley left side_14Jan2015.jpg,2.jpg,127,30,True,21
left,,24June2016,2367_Laverne I left head_24June2016.jpg,3.jpg,18,81,True,60
left,,Dec2002,2408_Leeanne II left head_Dec2002.jpg,4.jpg,67,393,True,315
left,,Oct2003,4083_Thekla I left_Oct2003.jpg,6.jpg,81,406,False,-1
left,,May2011,569_Bette II leftside_May2011.jpg,7.jpg,48,321,True,263
left,,,1183_Sirana I left side.jpg,8.jpg,15,52,True,37
left,,22Oct2015,4339_Ysole I left side_22Oct2015.jpg,9.jpg,20,101,True,76
left,,Jan2011,2670_Manu leftside_Jan2011.jpg,10.jpg,134,37,False,-1
left,,Dec2010,2380_Lazarus left_Dec2010.jpg,11.jpg,138,41,True,28
right,,Oct2008,1548_Gladys I right head_Oct2008.jpg,13.jpg,506,344,False,-1
left,,Jan2003,3637_Ridley left_Jan2003.jpg,14.jpg,127,30,True,21
left,,Dec2006,348_April II left_Dec2006.jpg,15.jpg,31,187,True,143
right,,6Jan2015,2350_Larina I right_6Jan2015.jpg,16.jpg,302,180,False,-1
right,,May2004,1772_Hortense I right_May2004.jpg,17.jpg,454,298,False,-1
left,,Feb2010,1319_Etta III left side_Feb2010.jpg,20.jpg,0,0,True,0
right,,31Jan2016,3480_Pothole right ear_31Jan2016.jpg,22.jpg,394,246,False,-1
right,,Nov2009,1439_Freda I right_Nov2009.jpg,23.jpg,518,353,True,283
left,,Oct2005,1888_Jackie II left_Oct2005.jpg,24.jpg,109,11,True,9
right,,4June2005,3480_Pothole right_4June2005.jpg,25.jpg,394,246,False,-1
right,,4Feb2016,3819_Sheena III right side_4Feb2016.jpg,26.jpg,277,161,False,-1
right,,Apr2011,4030_Taylor right side_Apr2011.jpg,27.jpg,483,324,True,266
left,,Dec2010,1536_Gibor leftside_Dec2010.jpg,28.jpg,144,48,True,33
left,,Oct2010,3412_Phaedra II left side_Oct2010.jpg,29.jpg,128,31,True,22
left,,Dec2008,3999_Talia I left side_Dec2008.jpg,30.jpg,201,103,True,78
right,,Jan2010,923_Conrad right side_Jan2010.jpg,31.jpg,415,266,True,215
right,,Apr2009,1075_Diana II right_Apr2009.jpg,32.jpg,446,289,True,234
left,,Dec2004,5061_Ibrahim left side 2_Dec2004.jpg,33.jpg,119,21,True,16
right,,14June2016,1076_Diana II(II) right side_14June2016.jpg,34.jpg,521,356,True,286
right,,Jan2008,3470_Pom right head_Jan2008.jpg,35.jpg,373,227,True,179
left,,17Aug2016,28_Aaron left side_17Aug2016.jpg,38.jpg,161,64,True,46
right,,20Jan2016,4109_Tibbie I right ear_20Jan2016.jpg,40.jpg,308,185,False,-1
left,,Apr2011,3886_Sourou I left_Apr2011.jpg,42.jpg,45,293,False,-1
right,,Oct2008,160_Halifa II right side_Oct2008.jpg,43.jpg,449,292,True,237
right,,23Jan2016,3999_Talia I right_23Jan2016.jpg,44.jpg,477,319,True,261
left,,Dec2009,1229_Elma II left_Dec2009.jpg,45.jpg,117,19,True,14
left,,25Dec2014,276_Basil left side_25Dec2014.jpg,46.jpg,95,417,True,334
right,,Jul2008,2779_Matoma I right_Jul2008.jpg,47.jpg,516,351,False,-1
left,,Jan2010,3134_Nath left side_Jan2010.jpg,48.jpg,105,7,True,6
left,,16Jan2015,3423_Philomena I left side_16Jan2015.jpg,49.jpg,222,123,True,97
right,,May2009,2578_Luna I right head_May2009.jpg,50.jpg,452,296,True,240
right,,20Jul2015,3428_Phyllis II right head_20Jul2015.jpg,51.jpg,496,336,True,275
right,,Jan2010,1945_Jayme right side_Jan2010.jpg,52.jpg,529,363,True,292
left,,May2003,1570_Gonya I left_May2003.jpg,53.jpg,22,120,True,94
right,,Nov2010,251_Anatole right side_Nov2010.jpg,55.jpg,413,264,True,213
left,,Nov2010,2038_Juanita III leftside_Nov2010.jpg,56.jpg,53,364,True,293
right,,2015,1183_Sirana I right side_2015.jpg,57.jpg,291,171,True,134
left,,Feb2010,4054_Tess II left head_Feb2010.jpg,58.jpg,83,407,True,327
left,,15Oct2015,5252_Zev left side_15Oct2015.jpg,59.jpg,152,55,False,-1
right,,Oct2009,160_Halifa II right side_Oct2009.jpg,60.jpg,449,292,True,237
left,,Jun2008,3062_Moses left side_Jun2008.jpg,61.jpg,108,10,True,8
right,,Apr2009,654_Brice right_Apr2009.jpg,63.jpg,388,240,True,190
right,,9Jan2015,1945_Jayme I right side_9Jan2015.jpg,64.jpg,529,363,True,292
right,,Jun2008,3387_Pepa I right side_Jun2008.jpg,65.jpg,501,342,False,-1
left,,Dec2002,4169_Twyla I left_Dec2002.jpg,66.jpg,171,72,True,53
left,,Nov2010,1211_Corrado left side_Nov2010.jpg,67.jpg,126,29,True,20
left,,17Jan2016,2164_Kepler left side_17Jan2016.jpg,69.jpg,157,60,True,43
left,,Oct2010,492_Barrymore left_Oct2010.jpg,70.jpg,145,49,True,34
left,,Nov2010,2655_Malcolm leftside_Nov2010.jpg,71.jpg,116,18,True,13
left,,Dec2004,1146_Dourou left side_Dec2004.jpg,72.jpg,129,32,True,23
left,,15Apr2016,1578_Gonya VI left side_15Apr2016.jpg,74.jpg,80,405,True,326
right,,Jun2008,722_Camille I right side_Jun2008.jpg,75.jpg,465,308,True,251
left,,Feb2003,3898_STE I left_Feb2003.jpg,76.jpg,200,102,True,77
right,,20Nov2015,4109_Tibbie I right side_20Nov2015.jpg,77.jpg,308,185,False,-1
right,,May2003,1570_Gonya I right_May2003.jpg,78.jpg,298,175,False,-1
left,,Jan2010,977_Triple Bite left head 2_Jan2010.jpg,79.jpg,102,4,True,3
right,,Nov2010,1673_Halo I rightside_Nov2010.jpg,80.jpg,443,286,True,232
left,,22Dec2014,2350_Larina I left head_22Dec2014.jpg,81.jpg,26,150,True,120
left,,Dec2004,3999_Talia I left 2_Dec2004.jpg,82.jpg,201,103,True,78
left,,Dec2002,276_Basil left_Dec2002.jpg,83.jpg,95,417,True,334
right,,Oct2010,3061_Morton right side_Oct2010.jpg,84.jpg,401,253,True,202
left,,1Nov2015,2602_Maddy I left head_1Nov2015.jpg,85.jpg,168,70,True,51
right,,12Dec2014,3412_Phaedra II right head_12Dec2014.jpg,86.jpg,404,256,True,205
left,,Nov2008,3637_Ridley left side_Nov2008.jpg,88.jpg,127,30,True,21
left,,25Jul2015,42_Adar left head_25Jul2015.jpg,89.jpg,122,25,False,-1
right,,23Dec2014,2655_Malcolm right_23Dec2014.jpg,90.jpg,392,244,True,194
left,,Sep2010,1465_Gabbie I leftside_Sep2010.jpg,91.jpg,13,33,False,-1
right,,11Oct2015,3414_Phaedra IV right side_11Oct2015.jpg,93.jpg,549,380,True,305
right,,May2009,1456_Gabbie II right_May2009.jpg,94.jpg,326,194,False,-1
left,,Jan2009,3412_Phaedra II left head_Jan2009.jpg,95.jpg,128,31,True,22
right,,25Feb2016,5061_Ibrahim right ear_25Feb2016.jpg,96.jpg,395,247,True,196
right,,28Apr2015,992_Cybele I right side_28Apr2015.jpg,97.jpg,461,304,True,247
left,,Jan2003,35_Malak left side_Jan2003.jpg,98.jpg,100,2,True,1
left,,16Jul2015,52_Aethra I left side_16Jul2015.jpg,99.jpg,186,87,True,65
right,,Jun2008,3062_Moses right side_Jun2008.jpg,100.jpg,384,236,True,186
left,,12Jul2016,977_Triple Bite left side_12Jul2016.jpg,101.jpg,102,4,True,3
right,,1Nov2015,2602_Maddy I right side_1Nov2015.jpg,102.jpg,444,287,False,-1
left,,4Feb2016,2675_Maralla II left head_4Feb2016.jpg,103.jpg,30,178,True,138
left,,Nov2010,1214_Eldridge leftside_Nov2010.jpg,104.jpg,93,415,True,332
right,,Sep2009,3917_Stephanie II right side_Sep2009.jpg,106.jpg,459,302,True,245
right,,21Dec2014,311_Anise I right side_21Dec2014.jpg,108.jpg,475,317,True,259
right,,14Nov2014,4330_Yetta I right_14Nov2014.jpg,109.jpg,511,349,True,281
left,,Aug2006,2655_Malcolm left side_Aug2006.jpg,110.jpg,116,18,True,13
left,,May2010,569_Bette II leftside_May2010.jpg,111.jpg,48,321,True,263
right,,Dec2009,1997_Joel right head_Dec2009.jpg,112.jpg,377,231,False,-1
left,,Feb2003,2281_Koffi left_Feb2003.jpg,113.jpg,91,413,True,331
right,,12Aug2016,2122_Kairos I right side_12Aug2016.jpg,115.jpg,295,173,False,-1
left,,17Mar2015,992_Cybele I left side_17Mar2015.jpg,117.jpg,185,86,True,64
left,,8Apr2016,4729_Engracia I left_8Apr2016.jpg,118.jpg,69,395,True,317
right,,Jan2010,842_Chloe I right side_Jan2010.jpg,120.jpg,519,354,True,284
right,,Jul2009,3766_Sasha IV right_Jul2009.jpg,121.jpg,396,248,True,197
right,,21Oct2015,1439_Freda I right side_21Oct2015.jpg,122.jpg,518,353,True,283
left,,27Dec2014,379_Ariel IV left side_27Dec2014.jpg,123.jpg,275,159,True,126
left,,3Sep2016,5901_Walker left side_3Sep2016.jpg,124.jpg,155,58,True,41
right,,Dec2009,1997_Joel right side_Dec2009.jpg,126.jpg,377,231,False,-1
left,,Nov2010,2164_Kepler leftside_Nov2010.jpg,127.jpg,157,60,True,43
right,,18Jul2015,284_Anemone V right side_18Jul2015.jpg,128.jpg,526,360,True,290
left,,Oct2004,1436_Franco left_Oct2004.jpg,129.jpg,90,412,True,330
right,,25Dec2014,4345_Zandra I right side_25Dec2014.jpg,130.jpg,505,343,True,278
right,,26June2016,2560_Lucrece II right side_26June2016.jpg,131.jpg,334,201,True,155
right,,Jan2011,1732_Hedia I right_Jan2011.jpg,132.jpg,545,378,True,303
right,,Aug2003,165_Alpha I right_Aug2003.jpg,133.jpg,534,368,True,294
right,,26Jan2016,373_Ariel II right side_26Jan2016.jpg,134.jpg,457,300,True,243
left,,Jul2006,2602_Maddy I left_Jul2006.jpg,135.jpg,168,70,True,51
left,,Dec2004,5061_Ibrahim left head 2_Dec2004.jpg,137.jpg,119,21,True,16
left,,12Aug2015,1183_Sirana I left head_12Aug2015.jpg,138.jpg,15,52,True,37
right,,3Dec2014,1909_Jamila III right_3Dec2014.jpg,139.jpg,400,252,True,201
right,,27Dec2014,6091_Ariel IV(II) right_27Dec2014.jpg,140.jpg,481,323,True,265
